# Ariba kategori kataloğu — İKİ dışa aktarımdan ÜRETİLDİ, elle düzenlenmez.
#   tam (firma kategori seçimi) : ariba-tum-kategoriler-hiyerarsik.csv
#   discovery (talep/ilan)      : ariba-discovery-tum-kategoriler-hiyerarsik.csv
# Üretici: prisma/scripts/import-ariba-csv.ts · ADLAR BİREBİR.
# Biçim: <kod8> ⇥ <seviye> ⇥ <üstKod8> ⇥ <segmentHarfi> ⇥ <ad> ⇥ <inDiscovery 1|0> ⇥ <altAdlar |-ayrık>
# 158018 kategori — L1:58 L2:558 L3:7966 L4:149436
# Discovery alt kümesi: 158005 — L1:58 L2:558 L3:7966 L4:149423
10151521	4	10151500		Dolmalık biber tohumları veya fideleri	1	
10151522	4	10151500		Pancar tohumları veya fideleri	1	
10151523	4	10151500		Karnabahar tohumları veya fideleri	1	
10151524	4	10151500		Maydanoz tohumları veya fideleri	1	
10151525	4	10151500		Brokoli tohumları veya fideleri	1	
10151526	4	10151500		Lahana tohumları veya fideleri	1	
10151529	4	10151500		Balkabağı tohumları veya fideleri	1	
10151531	4	10151500		Brüksel lahanası tohumları veya fideleri	1	
10151532	4	10151500		Kabak tohumları veya fideleri	1	
10151533	4	10151500		Bamya tohumları veya fideleri	1	
10151534	4	10151500		Kantalop tohumları veya fideleri	1	
10151535	4	10151500		Yerfıstığı tohumları veya fideleri	1	
10151536	4	10151500		Caigua seeds or seedlings	1	
10151537	4	10151500		Asparagus seeds or seedlings	1	
10151538	4	10151500		Chickpea seeds or seedlings	1	
10151539	4	10151500		Fava or broad bean seeds or seedlings	1	
10151540	4	10151500		Centrocema or butterfly pea seed or seedlings	1	
10151541	4	10151500		Nettle seed or seedlings	1	
10151542	4	10151500		Tarwi seed or seedlings	1	
10151543	4	10151500		Lentil seed or seedlings	1	
10151544	4	10151500		Pallar seed or seedlings	1	
10151600	3	10150000		Hububat tohumları	1	
10151601	4	10151600		Buğday tohumları	1	
10151602	4	10151600		Kolza tohumları	1	
10151603	4	10151600		Arpa tohumları	1	
10151604	4	10151600		Darı tohumları	1	
10151605	4	10151600		Yulaf tohumları	1	
10151606	4	10151600		Susam tohumları	1	
10151607	4	10151600		Keten tohumları	1	
10151608	4	10151600		Hint yağı tohumları	1	
10151609	4	10151600		Mısır tohumları	1	
10151610	4	10151600		Çavdar tohumları	1	
10151611	4	10151600		Sorgum tohumları	1	
10151612	4	10151600		Kiwicha seeds or seedlings	1	
10151613	4	10151600		Quinoa seeds or seedlings	1	
10151614	4	10151600		Rice seeds or seedlings	1	
10151615	4	10151600		Safflower seed	1	
10151616	4	10151600		Teff seed	1	
10151617	4	10151600		Sugar cane seed or cutting	1	
10151700	3	10150000		Çim ve ot tohumları ve fideleri	1	
10151702	4	10151700		Yonca tohumları veya fideleri	1	
10151703	4	10151700		Alfalfa tohumları veya fideleri	1	
10151704	4	10151700		Çim tohumları veya fideleri	1	
10151705	4	10151700		Yabani korunga tohumları veya fideleri	1	
10151706	4	10151700		Guar tohumları veya fideleri	1	
10151707	4	10151700		Reed seed or cutting	1	
10151708	4	10151700		Pasture seeds	1	
10151800	3	10150000		Baharlı bitki tohumları ve fideleri	1	
10151801	4	10151800		Biber tohumları veya fideleri	1	
10151802	4	10151800		Vanilya tohumları veya fideleri	1	
10151803	4	10151800		Tarçın tohumları veya fideleri	1	
10151804	4	10151800		Karanfil tohumları veya fideleri	1	
